campaign,goal_id,trial,fault_onset_rel_s,detected,crossing_rel_s,detection_latency_s,fatal_moment_rel_s,fatal_latency_s,lead_time_s
imu_fault_s1,goal_007,t1_20260728_204000,,False,,,,,
imu_fault_s1,goal_012,t1_20260728_204347,53.36969923973084,True,96.91707730293274,43.5473780632019,120.103574226,66.73387498626917,23.186496923067267
imu_fault_s3,goal_007,t1_20260728_195042,35.47784686088562,False,,,86.377201544,50.89935468311438,
imu_fault_s3,goal_012,t1_20260728_195502,19.852852821350098,True,68.10458135604858,48.251728534698486,83.312845376,63.4599925546499,15.208264019951415
imu_fault_scale,goal_007,t1_20260728_200905,35.90660119056702,False,,,58.413248336,22.506647145432986,
imu_fault_scale,goal_012,t1_20260728_201253,39.92816185951233,True,54.79434680938721,14.866184949874878,91.407983675,51.47982181548767,36.61363686561279
imu_fault_stuck,goal_007,t1_20260728_202434,36.18837642669678,False,,,58.449604664,22.26122823730322,
imu_fault_stuck,goal_012,t1_20260728_202808,54.50904631614685,True,68.91036319732666,14.40131688117981,103.642021843,49.132975526853144,34.731658645673335
tl_fault_ramp,goal_007,t1_20260728_215204,,False,,,,,
tl_fault_ramp,goal_012,t1_20260728_215748,,False,,,,,
tl_fault_ramp,goal_026,t1_20260728_220313,50.41920137405396,False,,,55.104254884,4.685053509946037,
tl_fault_s2,goal_007,t1_20260728_205829,,False,,,,,
tl_fault_s2,goal_012,t1_20260728_210210,,False,,,,,
tl_fault_s2,goal_026,t1_20260728_210652,,False,,,,,
tl_fault_s3,goal_007,t1_20260728_211338,,False,,,,,
tl_fault_s3,goal_012,t1_20260728_211902,,False,,,,,
tl_fault_s3,goal_026,t1_20260728_212548,30.312450408935547,False,,,35.000895252,4.6884448430644525,
tl_fault_s4,goal_007,t1_20260728_213355,,False,,,,,
tl_fault_s4,goal_012,t1_20260728_213807,,False,,,,,
tl_fault_s4,goal_026,t1_20260728_214355,46.18144869804382,False,,,110.618658755,64.43721005695618,
